name,species,genus
golden Caucasian spruce ,orientalis ,Picea 
Thorsen's weeping hemlock,heterophylla ,Tsuga 
columnar golden yew,baccata ,Taxus  
Serbian spruce,omorika ,Picea 
Caucasian spruce,orientalis ,Picea 
golden Caucasian spruce,orientalis ,Picea 
bald cypress,distichum ,Taxodium 
alpine totara,nivalis ,Podocarpus 
spreading English yew,baccata ,Taxus 
weeping Douglas fir,menziesii ,Pseudotsuga 
"arolla pine, Swiss stone pine",cembra ,Pinus 
blue mountain plum-pine,lawrencei ,Podocarpus 
red-tipped mountain plum-pine,lawrencei ,Podocarpus 
monkey puzzle tree,araucana ,Araucaria 
dwarf Japanese cedar,japonica ,Cryptomeria 
grand fir,grandis ,Abies 
Spanish fir,pinsapo ,Abies 
blue Spanish fir,pinsapo ,Abies 
"Zebrina Western red cedar, variegated Western red cedar",plicata ,Thuja 
weeping Alaskan yellow cedar,nootkatensis ,Cupressus 
"cowtail pine, plum yew",harringtonia ,Cephalotaxus 
dwarf hinoki cypress,obtusa ,Chamaecyparis 
emerald green cedar,occidentalis ,Thuja 
compact columnar arborvitae,occidentalis ,Thuja 
plumose Japanese cedar,japonica ,Cryptomeria 
crested Japanese cedar,japonica ,Cryptomeria 
golden dwarf hinoki cypress,obtusa ,Chamaecyparis 
compact fernspray hinoki cypress,obtusa ,Chamaecyparis 
dwarf hinoki cypress,obtusa ,Chamaecyparis 
Himalayan white pine,wallichiana ,Pinus 
dwarf canadian hemlock,canadensis ,Tsuga 
Sargent's weeping hemlock,canadensis ,Tsuga 
hinoki cypress,obtusa ,Chamaecyparis 
dwarf hinoki cypress,obtusa ,Chamaecyparis 
dwarf hinoki cypress,obtusa ,Chamaecyparis 
dwarf hiba cedar,dolabrata ,Thujopsis 
hiba cedar,dolobrata ,Thujopsis 
Japanese cedar,japonica ,Cryptomeria 
dwarf hinoki cypress,obtusa ,Chamaecyparis 
dwarf hinoki cypress,obtusa ,Chamaecyparis 
weeping Serbian spruce,omorika ,Picea 
"western red cedar, giant arborvitae",plicata ,Thuja 
golden lodgepole pine,contorta ,Pinus 
limber pine,flexilis ,Pinus 
compact Japanese black pine,thunbergii ,Pinus 
blue-needled Japanese white pine,parviflora ,Pinus 
shore pine,contorta ,Pinus 
tanyosho pine,densiflora ,Pinus 
Bosnian pine,heldreichii ,Pinus 
prostrate Canadian hemlock,canadensis ,Tsuga 
dwarf mountain hemlock,mertensiana ,Tsuga 
weeping giant sequoia,giganteum ,Sequoiadendron 
Korean fir,koreana ,Abies 
weeping Alaskan yellow cedar,nootkatensis ,Cupressus 
narrow Alaskan yellow cedar,nootkatensis ,Cupressus 
golden Japanese cedar,japonica ,Cryptomeria 
incense cedar,decurrens ,Calocedrus 
northern Japanese hemlock,diversifolia ,Tsuga 
dwarf golden threadleaf cypress,pisifera ,Chamaecyparis 
dwarf balsam fir,balsamea ,Abies 
Siberian cypress,decussata ,Microbiota 
contorted Japanese larch,kaempferi ,Larix 
Hollywood juniper,chinensis ,Juniperus 
dawn redwood,glyptostroboides ,Metasequoia 
Irish yew,baccata ,Taxus 
coast redwood,sempervirens ,Sequoia 
mountain hemlock,mertensiana ,Tsuga 
blue-needled giant sequoia,giganteum ,Sequoiadendron 
golden larch,amabilis ,Pseudolarix 
Japanese umbrella pine,verticillata ,Sciadopitys 
pond cypress,distichum ,Taxodium 
